,Gene_set,Term,Odds Ratio,Genes,Cluster,Count,-log10(adj p-value)
25,GO_Biological_Process_2023,mRNA Processing ,6.9667355371900825,SF3B4;ISY1;RBM8A;CELF1;SF3B6;DDX23;SRSF1;TBRG4;SART3;TRA2B;MAGOH;PAPOLA;MTREX;RBM10;HEXIM1;SF3A2;NCBP1;NCBP2;CWC15;LSM3;SRRM1;LSM2;SNRNP40;DDX39A;PPIE;RBM42;PRPF31;SNRPA,2,28,10.430540986463129
26,GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile ",7.021421065394875,ISY1;SF3B4;SF3A2;RBM8A;NCBP1;NCBP2;SF3B6;DDX23;SRSF1;CWC15;LSM3;SRRM1;LSM2;SNRNP40;DDX39A;SART3;TRA2B;MAGOH;PPIE;RBM42;MTREX;PRPF31;SNRPA;RBM10,2,24,8.889672524732248
27,GO_Biological_Process_2023,protein-RNA Complex Assembly ,7.681564245810056,HEXIM1;ISY1;PRMT7;SF3A2;NCBP1;CELF1;NOP2;DDX23;SRSF1;PPAN;MRPS7;TARBP2;SRPK1;SETX;MRPL20;BOP1;SART3;PUF60;RSRP1;STRAP;DENR;SMN1,2,22,8.780505696551815
28,GO_Molecular_Function_2023,RNA Binding ,5.993700647679886,PPAN;NUCKS1;BZW1;MAGOH;DENR;MTREX;CHCHD1;DDX17;ACTN1;GTF2F1;SRRM1;DYNC1LI1;ILF3;DDX39A;HNRNPUL1;EWSR1;HNRNPUL2;PSPC1;RPL7L1;ZC3H11A;MRTO4;PPIE;DUS3L;SNRPA;SLBP;RBM8A;NOP2;NOLC1;HNRNPLL;MRPL11;DHX30;MRPL20;EMG1;FXR2;LARP1;HNRNPDL;CSTF1;SAFB2;RBM10;HEXIM1;CPSF4;CHTOP;UBE2I;NOP16;KNOP1;PYM1;CWC15;LSM3;CHERP;LSM2;MANF;SRPK1;SETX;TBL3;FUBP3;FASN;HNRNPD;MPHOSPH10;ZCCHC3;ISY1;CELF1;PSIP1;WDR46;SMG5;WDR43;RBM3;SART3;XPO5;UBTF;TNPO1;LBR;PELP1;TOP3B;NCBP1;NCBP2;DDX56;SPATS2;DDX54;MRPS7;PPRC1;RANGAP1;SAFB;MRPS5;THRAP3;CDC42EP4;MYH9;STRAP;TOP1;SF3B4;DDX27;POLDIP3;NIP7;SF3B6;DDX23;SRRT;SRSF1;AKAP8;DDX21;TBRG4;NXF1;GANAB;RPS15A;POLR2A;PUF60;POLR2B;TRA2B;YTHDF1;SF3A2;NIFK;MCRS1;PDAP1;SAMD4B;TRMT1;DEK;LRPPRC;TARBP2;BYSL;BOP1;SNRNP40;ACIN1;RBM42;PRPF31;UBAP2;TARDBP;METAP2,2,125,41.21358020279049
29,GO_Molecular_Function_2023,mRNA Binding ,4.49438202247191,DDX17;SLBP;YTHDF1;CHTOP;RBM8A;NCBP1;CELF1;NCBP2;POLDIP3;SF3B6;SRSF1;SAMD4B;HNRNPLL;MRPS7;LRPPRC;FXR2;LARP1;FUBP3;TRA2B;XPO5;PPIE;RBM42;DENR;TARDBP,2,24,5.748969774293849
30,GO_Molecular_Function_2023,DNA Binding ,2.4194105457057336,FEN1;SRRT;MRPL36;NUCKS1;SMC3;PQBP1;POLR2A;SAFB2;POLR2H;PATZ1;CDT1;TCF7L1;TIPIN;NCBP2;NFYC;NR1H2;CBX1;RPA2;ARID1A;SAFB;TERF1;SETX;ILF3;RYBP;FUBP3;THRAP3;MTF2;POLE3;MCM4;QRICH1;TCF3;TOP1;CRLF3;TARDBP;ZCCHC3;SNRPA,2,36,3.1020174859520933
31,GO_Molecular_Function_2023,snRNA Binding ,8.293200097489642,HEXIM1;SART3;NCBP2;DDX21;PRPF31;SNRPA;LSM2,2,7,2.312156180128793
32,GO_Molecular_Function_2023,RNA Polymerase I Transcription Regulatory Region Sequence-Specific DNA Binding ,58.145888594164454,RRN3;PIH1D1;UBTF,2,3,1.977238055632921
33,KEGG_2019_Mouse,Spliceosome,8.744331252053895,ISY1;SF3B4;SF3A2;RBM8A;NCBP1;NCBP2;SF3B6;SRSF1;DDX23;CWC15;LSM3;CHERP;LSM2;PQBP1;SNRNP40;PUF60;TRA2B;MAGOH;PPIE;ACIN1;PRPF31;SNRPA,2,22,10.014800808156904
34,KEGG_2019_Mouse,RNA transport,7.067039106145251,EIF2B4;NUP205;SEH1L;UBE2I;RBM8A;NCBP1;NCBP2;PYM1;RANGAP1;NUP160;SRRM1;NXF1;FXR2;NUP85;NUP50;MAGOH;NUP62;XPO5;TACC3;STRAP;ACIN1;SMN1,2,22,8.719780709087562
35,KEGG_2019_Mouse,mRNA surveillance pathway,7.360762942779291,CPSF4;NCBP1;RBM8A;NCBP2;PYM1;SMG5;SRRM1;NXF1;PPP2R1B;MAGOH;PAPOLA;CSTF1;ACIN1,2,13,5.044452917295741
36,KEGG_2019_Mouse,Progesterone-mediated oocyte maturation,5.698002350176263,ANAPC13;CCNB2;FZR1;CDK2;GNAI3;CDK1;KIF22;CDC25A;ANAPC1;AURKA,2,10,2.887325952368793
37,KEGG_2019_Mouse,RNA polymerase,10.642197374817696,ZNRD1;POLR2A;POLR2B;POLR1D;POLR2H;POLR2L,2,6,2.677025273146957
38,WikiPathways_2019_Mouse,mRNA processing WP310,5.779903157720482,LTV1;CELF1;RBM3;SART3;PAPOLA;NCBP2;DDX56;SRRM1;ILF3;EWSR1;PSPC1;CD2BP2;PPIE;NAA38;DNAJC8;SNRPA;SF3B4;SLBP;RBM8A;POLDIP3;NIP7;SF3B6;SRSF1;DDX21;HNRNPLL;MRPL11;NXF1;EXOSC5;FXR2;HNRNPDL;POLR2A;PUF60;TRA2B;EXOSC8;CSTF1;SAFB2;SMN1;RBM10;CPSF4;SF3A2;NIFK;TARBP2;LSM2;SRPK1;SNRNP40;HNRNPD;ACIN1;RBM42;TARDBP,2,49,17.02635052794168
39,WikiPathways_2019_Mouse,PluriNetWork WP1763,3.1539306104523495,USP7;TCF7L1;UBE2I;ZFP219;EHMT1;PTPN11;GATAD2A;HIRA;REST;RYBP;ZFP57;RBBP4;EWSR1;SIN3A;MTF2;NACC1;CDK2;MTA2;RCOR2;SF1,2,20,3.048748863322253
40,WikiPathways_2019_Mouse,TNF-alpha NF-kB Signaling Pathway WP246,3.5456073980664145,UBE2I;YWHAB;AKAP8;PTPN11;LRPPRC;PSMD6;PSMD7;TRAF4;PAPOLA;POLR1D;PSMD1;PFDN2;POLR2H;GTF2I,2,14,2.526352453901882
41,WikiPathways_2019_Mouse,Proteasome Degradation WP519,6.154517309316071,PSMD6;PSMD7;PSMD11;PSMD5;PSME3;UBE2D2A,2,6,1.792731594065118
42,GO_Biological_Process_2023,Defense Response To Bacterium ,12.055352055352056,GSDMD;SERPINE1;ISG15;GBP2;GBP4;GBP3,3,6,1.8693929640182063
43,GO_Biological_Process_2023,tRNA Modification ,6.4043951612903225,GON7;DTWD1;QTRT2;TRMT10A;PUS10;MOCS3;TYW5;TRMO;LCMT2;METTL6;FTSJ1,4,11,2.005891900069827
44,GO_Biological_Process_2023,Double-Strand Break Repair ,3.661479591836734,DCLRE1A;SLF1;ZGRF1;PRKDC;MCM8;RMI1;TOP3A;HUS1;INO80;BRCA1;INIP;MMS22L;RNF138;UBE2V2;REV3L;EPC1;ATM,4,17,1.8455908746446943
45,GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling ,6.528162650602409,ATF2;TRIM39;PRKDC;TAOK1;WAC;HUS1;RAD17;ATM;BRCA1,4,9,1.8455908746446943
46,GO_Biological_Process_2023,Recombinational Repair ,4.659070707070707,MMS22L;SLF1;MCM8;RMI1;RNF138;TOP3A;REV3L;EPC1;HUS1;BRCA1;INO80;INIP,4,12,1.8455908746446943
47,GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination ,4.257835600236547,SLF1;FANCM;MCM8;RMI1;TOP3A;HUS1;INO80;BRCA1;INIP;MMS22L;RNF138;REV3L;EPC1,4,13,1.8455908746446943
48,GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Activity ,2.4365571157703827,CUL5;RNF38;XIAP;UBE3A;UBR1;BRCA1;RCHY1;COP1;RNF139;RNF138;RSPRY1;NHLRC3;MSL2;RC3H1;ZFP91;PEX2;FBXO11;RC3H2;RNF146;CNOT4;TRIM39;CBLL1;DZIP3;BIRC2;LNX2,4,25,1.3839831636359583
49,GO_Molecular_Function_2023,"Catalytic Activity, Acting On A tRNA ",6.529419354838709,DTWD1;QTRT2;PUS10;TYW5;PTRH2;LCMT2;FTSJ1,4,7,1.3839831636359583
50,GO_Molecular_Function_2023,Ubiquitin-Like Protein Transferase Activity ,2.6704867490890973,HDAC4;CUL5;RC3H1;XIAP;ZFP91;UBE3A;BRCA1;RCHY1;FBXO11;RNF146;CNOT4;COP1;RNF139;CBLL1;DZIP3;BIRC2;RSPRY1;LNX2,4,18,1.379323750457096
51,GO_Molecular_Function_2023,Nucleotidyltransferase Activity ,14.394632206759445,MOCS3;TUT7;UBA6;REV1,4,4,1.379323750457096
52,GO_Molecular_Function_2023,Methylation-Dependent Protein Binding ,4.7245511431025315,KDM5A;KMT2E;ING2;ZZZ3;RRP8;TDRD3;ZZEF1;PHF8,4,8,1.379323750457096
53,KEGG_2019_Mouse,Glycosphingolipid biosynthesis,15.5748031496063,FUT9;ST8SIA1;B3GNT2;A4GALT,5,4,1.4753343026908605
54,GO_Biological_Process_2023,DNA-templated DNA Replication ,23.441971383147855,RFC5;GINS1;PRIM2;GINS2;RFC3;PRIM1;MCM10;RECQL4;RAD51;POLE2;MCM3;MCM5;DNA2;MCM6;POLG,6,15,11.13593602874294
55,GO_Biological_Process_2023,DNA Metabolic Process ,8.305629516926588,RFC5;PRIM2;RFC3;RTEL1;LIG1;XRCC5;PRIM1;FANCA;NUDT1;MCM10;TYMS;TICRR;RECQL4;RAD51;EXO1;POLE2;MCM3;TIMELESS;MCM5;DNA2;MCM6;CENPS;POLG;RAD9A,6,24,10.235811109592358
56,GO_Biological_Process_2023,DNA Repair ,7.371154908822987,FANCI;RFC5;RFC3;LIG1;XRCC5;CDCA5;FANCA;NUDT1;CIB1;TICRR;TRAIP;RECQL4;RAD51;EME1;EXO1;POLE2;TIMELESS;DNA2;TRIP13;HROB;CENPS;RAD9A,6,22,8.500449585812046
57,GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling ,43.52748691099477,CENPF;PLK1;BUB1B;TRIP13;HASPIN;BUB1;MAD1L1;SPC24;SPC25,6,9,8.452471435019248
58,GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling ,43.52748691099477,CENPF;PLK1;BUB1B;TRIP13;HASPIN;BUB1;MAD1L1;SPC24;SPC25,6,9,8.452471435019248
59,GO_Molecular_Function_2023,Single-Stranded DNA Helicase Activity ,58.05235602094241,RFC5;PIF1;RFC3;RAD51;DSCC1;MCM3;MCM5;DNA2;MCM6,6,9,9.177420465582928
60,GO_Molecular_Function_2023,Microtubule Binding ,5.344159864902899,SPAG5;PLK1;KIF14;KIF23;SKA1;CENPE;ALMS1;BIRC5;KIF2C;FAM83D;DLGAP5;SPC24;MDM1,6,13,3.4074781853199196
61,GO_Molecular_Function_2023,DNA Binding ,2.9761050719677264,RFC3;XRCC5;DDX11;FOXH1;MCM10;CHTF18;PSMC3IP;NR6A1;RAD51;EME1;EXO1;E2F1;MCM3;TIMELESS;AUNIP;MCM5;CLSPN;DNA2;MCM6;HROB;LYAR;CENPS;POLG,6,23,3.053759230278772
62,GO_Molecular_Function_2023,Exonuclease Activity ,13.04359351988218,EXOSC6;EXO1;EXOSC3;EXOSC2;POLG;RAD9A,6,6,3.053759230278772
63,GO_Molecular_Function_2023,Single-Stranded DNA Binding ,7.862179487179487,RECQL4;RAD51;DDX11;MCM3;MCM10;MCM5;MCM6;HROB,6,8,3.053759230278772
64,KEGG_2019_Mouse,DNA replication,31.096842105263157,RFC5;PRIM2;RFC3;LIG1;PRIM1;POLE2;MCM3;MCM5;MCM6;DNA2,6,10,8.645108266459415
65,KEGG_2019_Mouse,Cell cycle,11.566255575964314,PLK1;BUB1B;CDC7;CDC6;CDC25C;PKMYT1;ESPL1;CCNE1;MCM3;E2F1;MCM5;MCM6;SKP2;BUB1;MAD1L1,6,15,8.554435340122447
66,KEGG_2019_Mouse,Oocyte meiosis,6.808333333333334,RPS6KA6;ESPL1;CCNE1;PLK1;CDC25C;PKMYT1;BUB1;MAD1L1,6,8,2.7218578861833946
67,KEGG_2019_Mouse,Mismatch repair,16.755102040816325,RFC5;RFC3;LIG1;EXO1,6,4,2.26803369863113
68,KEGG_2019_Mouse,Pyrimidine metabolism,9.227642276422763,DCTD;PNP2;TK1;UMPS;TYMS,6,5,2.0869132754067263
69,WikiPathways_2019_Mouse,DNA Replication WP150,32.50256786500367,RFC5;PRIM2;RFC3;PRIM1;POLE2;GMNN;MCM3;MCM10;CDC7;MCM5;CDC6;MCM6,6,12,11.073363819593773
70,WikiPathways_2019_Mouse,G1 to S cell cycle control WP413,13.36045106725735,PRIM2;CCNE1;PRIM1;POLE2;MCM3;E2F1;MCM5;MCM6;PKMYT1,6,9,5.455339950183568
71,GO_Molecular_Function_2023,Pseudouridine Synthase Activity ,21.96240601503759,RPUSD1;PUS1;PUS7;PUSL1,7,4,1.3462950180479063
72,GO_Biological_Process_2023,Intermediate Filament Organization ,24.93033707865169,KRT81;KRT10;KRT75;KRT86;KRT74;KRT73,8,6,3.501339255065666
73,KEGG_2019_Mouse,Retinol metabolism,18.2641975308642,RDH8;RDH9;AWAT2;RDH1,8,4,1.7728230816004311
74,GO_Biological_Process_2023,mRNA Processing ,20.27319931402439,DDX5;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;SNRNP70;SNRPD1;U2AF2;RALY;SNRPD3;HNRNPA0;PPIL1;HNRNPM;SFPQ;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;RNPS1;HNRNPC;SRSF5;SRSF6;SRSF7;SNRPB,10,29,22.04957391799973
75,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome ",20.27319931402439,DDX5;DHX9;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;SNRNP70;SNRPD1;U2AF2;RALY;SNRPD3;PPIL1;HNRNPM;SFPQ;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;RNPS1;HNRNPC;SRSF5;SRSF6;SRSF7;SNRPB,10,29,22.04957391799973
76,GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile ",22.453676470588235,DDX5;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;SNRNP70;SNRPD1;U2AF2;RALY;SNRPD3;PPIL1;HNRNPM;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;SRSF3;RNPS1;HNRNPC;SRSF5;SRSF6;SRSF7;SNRPB,10,27,21.675165024950065
77,GO_Biological_Process_2023,RNA Processing ,18.799907862407863,HNRNPU;U2AF1;PRPF8;PPP2CA;PABPN1;SNRPD1;U2AF2;SNRPD3;HNRNPA0;FUS;PRMT1;HNRNPL;SFPQ;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;SNRPG;SRSF2;RNPS1;HNRNPC;SRSF5;SRSF7;SNRPB,10,25,18.4706616952175
78,GO_Biological_Process_2023,RNA Splicing ,19.990520043336943,FUS;PRMT1;U2AF1;PRPF8;PPP2CA;SFPQ;DDX39B;SNRPD1;SNRPG;SRSF2;RNPS1;SNRPD3;HNRNPC;SRSF7;SNRPB,10,15,11.024969171171705
79,GO_Molecular_Function_2023,RNA Binding ,18.500497371038794,YWHAE;RPL31;GDI2;HMGB2;HNRNPU;HMGB1;IPO5;EFTUD2;FBL;PTBP1;TRIM28;RPL36AL;SNRNP70;SNRPD1;SUMO2;SEC61B;SNRPD3;KPNA2;RPL39;YWHAG;CCT3;EIF5A;PDIA3;HSP90AA1;RPL21;PRMT1;YWHAZ;NME1;SFPQ;DDX39B;HNRNPH1;NCL;TCP1;FSCN1;SNRPG;SRSF2;SRSF3;ERH;SRSF5;SRSF6;SRSF7;KPNB1;SNRPB;DDX5;VCP;ANP32A;DHX9;RPS27L;SNU13;U2AF1;PRPF8;HSP90B1;HSPD1;SELENOH;PABPN1;U2AF2;PCBP1;PRDX1;G3BP1;PCBP2;EIF4H;FLNA;RALY;EIF4B;CCT4;HNRNPA0;BTF3;NOP56;NOP58;FUS;CNBP;NONO;NAP1L1;PA2G4;SSRP1;HSPE1;HNRNPAB;PRRC2A;CCT6A;HNRNPL;HNRNPM;HNRNPK;APEX1;HNRNPF;HNRNPA2B1;SERBP1;EIF3H;HDGF;RNPS1;RPS20;HNRNPC;EIF3D;EIF4G2;RAN;EIF3B,10,95,59.82865780081296
80,GO_Molecular_Function_2023,mRNA Binding ,10.929731566428812,DDX5;DHX9;CNBP;HNRNPU;HNRNPAB;HNRNPL;HNRNPM;PTBP1;HNRNPK;SNRNP70;NCL;PCBP1;G3BP1;HNRNPA2B1;PCBP2;SERBP1;RNPS1;HNRNPC;EIF3D;SRSF7;CCT5;EIF4G2,10,22,12.070004102895586
81,GO_Molecular_Function_2023,pre-mRNA Binding ,47.432432432432435,HNRNPL;PTBP1;DDX5;U2AF2;HNRNPU;U2AF1;HNRNPC;SRSF6;PRPF8,10,9,9.234750797064748
82,GO_Molecular_Function_2023,Cadherin Binding ,7.997914494264859,NOP56;YWHAE;RANBP1;NUDC;HSPA5;AHSA1;PAICS;PRDX6;YWHAZ;CNN3;HNRNPK;PCBP1;PRDX1;SERBP1;EIF4H;FSCN1;FLNA;CCT8;EIF4G2;RAN,10,20,8.919753376896528
83,GO_Molecular_Function_2023,snRNA Binding ,29.047951176983435,EFTUD2;EIF5A;DDX39B;SNRNP70;HNRNPU;SNU13;SNRPD3;HNRNPC;PRPF8,10,9,7.905476699976369
84,KEGG_2019_Mouse,Spliceosome,25.04610610314763,DDX5;PPIL1;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;HNRNPM;HNRNPK;DDX39B;SNRPD1;SNRNP70;U2AF2;PCBP1;SNRPG;SRSF2;SRSF3;SNRPD3;SRSF5;HNRNPC;SRSF6;SRSF7;SNRPB,10,23,19.68245564168061
85,KEGG_2019_Mouse,Cell cycle,9.2787855883094,CDC20;YWHAE;CCNB1;PCNA;MCM7;YWHAQ;TRP53;YWHAZ;YWHAG;YWHAH,10,10,4.482434571886329
86,KEGG_2019_Mouse,Oocyte meiosis,10.07819617370179,CDC20;YWHAE;PPP2CA;CCNB1;YWHAQ;CALM2;YWHAZ;YWHAG;YWHAH,10,9,4.3697721600173915
87,KEGG_2019_Mouse,Systemic lupus erythematosus,27.08516081871345,H3F3B;SNRPD1;H3F3A;SNRPD3;SNRPB,10,5,3.977681632973478
88,KEGG_2019_Mouse,RNA transport,7.246869762397712,DDX39B;SUMO2;EIF3H;RNPS1;EIF3D;EIF4B;EIF4G2;KPNB1;RAN;EIF3B,10,10,3.977681632973478
89,WikiPathways_2019_Mouse,mRNA processing WP310,16.848749071092396,DDX5;DHX9;HNRNPU;SNU13;U2AF1;PRPF8;PPM1G;EFTUD2;FBL;PTBP1;PABPN1;SNRNP70;SNRPD1;U2AF2;PCBP1;G3BP1;PCBP2;EIF4H;RALY;SNRPD3;RPL39;HNRNPA0;FUS;PRMT1;NONO;HNRNPAB;HNRNPL;HNRNPM;SFPQ;HNRNPK;DDX39B;HNRNPH1;HNRNPF;NCL;HNRNPA2B1;SNRPG;SRSF2;SRSF3;RNPS1;RPS20;HNRNPC;SRSF5;SRSF6;SRSF7;EIF4G2;EIF3B;SNRPB,10,47,33.41507103057192
90,WikiPathways_2019_Mouse,Translation Factors WP307,20.375150576492857,EEF1B2;EIF5A;EIF4H;EIF3H;EIF3D;EIF4B;EIF4G2;EIF3B,10,8,6.1562239039272635
91,WikiPathways_2019_Mouse,TNF-alpha NF-kB Signaling Pathway WP246,7.689742470536883,PPP2CA;YWHAE;FBL;HSP90AA1;MCM7;ACTL6A;PSMD3;FLNA;KPNA2;YWHAZ;YWHAG;YWHAH,10,12,5.4107668696559035
92,WikiPathways_2019_Mouse,Calcium Regulation in the Cardiac Cell WP553,5.583306233062331,YWHAE;FKBP1A;YWHAQ;GNB1;YWHAZ;YWHAG;YWHAH,10,7,2.2482573859140222
93,WikiPathways_2019_Mouse,PluriNetWork WP1763,3.770207702853004,TRIM28;DHX9;NCL;TRP53;H3F3A;CDK2AP1;HNRNPU;SSRP1;KPNA2;KPNB1,10,10,2.199840506643418
94,GO_Biological_Process_2023,Organonitrogen Compound Biosynthetic Process ,13.377208799134513,ALAS2;ELOVL2;GCNT1;PLA2G4C;GAL3ST4,11,5,1.7307651663975432
95,KEGG_2019_Mouse,Arachidonic acid metabolism,20.349726775956285,GPX2;PLA2G4C;PTGDS,11,3,1.4685051536871214
96,KEGG_2019_Mouse,Nitrogen metabolism,40.10752688172043,CAR3;CAR15,11,2,1.3545736263127777
97,WikiPathways_2019_Mouse,Selenium Micronutrient Network WP1272,32.07956989247312,GPX2;PTGDS,11,2,1.4768694942399947
98,WikiPathways_2019_Mouse,Folic Acid Network WP1273,26.727598566308245,GPX2;PTGDS,11,2,1.4768694942399947
99,WikiPathways_2019_Mouse,Prostaglandin Synthesis and Regulation WP374,25.31918505942275,PTGER1;PTGDS,11,2,1.4768694942399947
100,WikiPathways_2019_Mouse,Metapathway biotransformation WP1251,8.489897064430043,CYP26B1;GPX2;GAL3ST4,11,3,1.3429793465882527
101,GO_Biological_Process_2023,Supramolecular Fiber Organization ,6.621834008341897,APP;COL18A1;HIP1;TPM4;TPM2;TPM1;FURIN;PPP1R9B;CNN2;PXDN;STMN1;SERPINH1;B2M;CGNL1;DBN1,13,15,4.1502532222043325
102,GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Cell Proliferation ,77.56339869281045,MDK;IGF2;PLCG1;FGFR1,13,4,3.0145176830801654
103,GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II ,3.6954346466541583,NOTCH1;PEG3;CBX2;DNMT3A;IGF2;UBE2D1;MACROH2A2;MACROH2A1;NR2F6;BMP4;EID1;BIN1;ID2;ID1;SMYD2;ID3;NDN;E2F6;MDFI,13,19,2.625515713220763
104,GO_Biological_Process_2023,Regulation Of Vascular Endothelial Cell Proliferation ,43.07915758896151,MDK;IGF2;PLCG1;FGFR1,13,4,2.5758176682916063
105,GO_Biological_Process_2023,Positive Regulation Of Glial Cell Differentiation ,32.30283224400871,NOTCH1;SERPINE2;MDK;ID2,13,4,2.2776078440328122
106,GO_Molecular_Function_2023,Serine-Type Endopeptidase Inhibitor Activity ,24.220588235294116,APP;SERPINE2;SERPINH1;FURIN,13,4,1.986199148495902
107,GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity ,10.352743561030236,APP;SERPINE2;BIN1;SERPINH1;FURIN,13,5,1.6644744923536805
108,GO_Molecular_Function_2023,Fibroblast Growth Factor Binding ,22.216783216783217,FIBP;FGFRL1;FGFR1,13,3,1.4706027029786644
109,GO_Molecular_Function_2023,Double-Stranded Methylated DNA Binding ,95.72258064516129,EGR1;MACROH2A1,13,2,1.4706027029786644
110,KEGG_2019_Mouse,Proteoglycans in cancer,5.835222978080121,CD63;ITGB5;SMO;CTSL;PXN;GPC3;IGF2;FLNC;PLCG1;FGFR1,13,10,2.466000109844439
